quantnos_ori,orbnames,quantnos
"{0, 0, 0, 1}",1s_1/2,"{1, 0, 0, 1/2}"
"{1, 1, 0, 1}",1p_3/2,"{1, 1, -1, 3/2}"
"{2, 0, 0, 1}",1p_3/2,"{1, 1, 1, 3/2}"
"{1, 1, 1, 1}",1p_1/2,"{1, 1, 0, 1/2}"
"{1, 1, 1, -1}",1d_5/2,"{1, 2, -1, 5/2}"
"{2, 2, 1, 1}",1d_5/2,"{1, 2, 1, 5/2}"
"{3, 1, 0, 1}",1d_5/2,"{1, 2, 0, 5/2}"
"{2, 2, 0, 1}",1d_3/2,"{1, 2, -2, 3/2}"
"{3, 1, 1, 1}",1d_3/2,"{1, 2, 2, 3/2}"
"{2, 2, 2, 1}",2s_1/2,"{2, 0, 0, 1/2}"
"{2, 2, 1, -1}",1f_7/2,"{1, 3, -3, 7/2}"
"{3, 1, 1, -1}",1f_7/2,"{1, 3, -2, 7/2}"
"{2, 2, 2, -1}",1f_7/2,"{1, 3, 2, 7/2}"
"{4, 0, 0, 1}",1f_7/2,"{1, 3, 3, 7/2}"
"{4, 2, 1, 1}",1f_5/2,"{1, 3, -1, 5/2}"
"{3, 3, 2, 1}",1f_5/2,"{1, 3, 0, 5/2}"
"{3, 3, 0, 1}",1f_5/2,"{1, 3, 1, 5/2}"
"{4, 2, 0, 1}",2p_3/2,"{2, 1, -1, 3/2}"
"{3, 3, 1, 1}",2p_3/2,"{2, 1, 1, 3/2}"
"{3, 3, 1, -1}",2p_1/2,"{2, 1, 0, 1/2}"
"{4, 2, 2, 1}",1g_9/2,"{1, 4, -2, 9/2}"
"{3, 3, 2, -1}",1g_9/2,"{1, 4, -1, 9/2}"
"{3, 3, 3, 1}",1g_9/2,"{1, 4, 0, 9/2}"
"{4, 2, 1, -1}",1g_9/2,"{1, 4, 1, 9/2}"
"{3, 3, 3, -1}",1g_9/2,"{1, 4, 2, 9/2}"
"{4, 2, 2, -1}",1g_7/2,"{1, 4, -4 7/2}"
"{5, 1, 0, 1}",1g_7/2,"{1, 4, -3, 7/2}"
"{4, 4, 3, 1}",1g_7/2,"{1, 4, 3, 7/2}"
"{4, 4, 0, 1}",1g_7/2,"{1, 4, 4, 7/2}"
"{5, 3, 2, 1}",2d_5/2,"{2, 2, -1, 5/2}"
"{4, 4, 1, 1}",2d_5/2,"{2, 2, 0, 5/2}"
"{5, 1, 1, 1}",2d_5/2,"{2, 2, 1, 5/2}"
"{5, 1, 1, -1}",1h_11/2,"{1, 5, -5, 11/2}"
"{5, 3, 3, 1}",1h_11/2,"{1, 5, -4, 11/2}"
"{5, 3, 0, 1}",1h_11/2,"{1, 5, -3, 11/2}"
"{5, 3, 1, 1}",1h_11/2,"{1, 5, 3, 11/2}"
"{4, 4, 2, 1}",1h_11/2,"{1, 5, 4, 11/2}"
"{4, 4, 3, -1}",1h_11/2,"{1, 5, 5, 11/2}"
"{4, 4, 2, -1}",2d_3/2,"{2, 2, -2, 3/2}"
"{5, 3, 1, -1}",2d_3/2,"{2, 2, 2, 3/2}"
"{4, 4, 4, 1}",3s_1/2,"{3, 0,0, 1/2}"
"{4, 4, 1, -1}",1h_9/2,"{1, 5, -2, 9/2}"
"{5, 3, 2, -1}",1h_9/2,"{1, 5, -1 9/2}"
"{6, 0, 0, 1}",1h_9/2,"{1, 5, 0, 9/2}"
"{4, 4, 4, -1}",1h_9/2,"{1, 5, 1, 9/2}"
"{5, 3, 3, -1}",1h_9/2,"{1, 5, 2, 9/2}"
"{5, 5, 4, 1}",1i_13/2,"{1, 6, -3, 13/2}"
"{5, 5, 2, 1}",1i_13/2,"{1, 6, -2, 13/2}"
"{5, 5, 1, 1}",1i_13/2,"{1, 6, -1, 13/2}"
"{6, 2, 1, 1}",1i_13/2,"{1, 6, 0, 13/2}"
"{6, 2, 0, 1}",1i_13/2,"{1, 6, 1, 13/2}"
"{5, 5, 0, 1}",1i_13/2,"{1, 6, 2, 13/2}"
"{5, 5, 3, 1}",1i_13/2,"{1, 6, 3, 13/2}"
"{6, 4, 3, 1}",2f_7/2,"{2, 3, -3, 7/2}"
"{6, 4, 4, 1}",2f_7/2,"{2, 3, -2, 7/2}"
"{6, 2, 2, 1}",2f_7/2,"{2, 3, 2, 7/2}"
"{5, 5, 1, -1}",2f_7/2,"{2, 3, 3, 7/2}"
"{6, 4, 2, 1}",2f_5/2,"{2, 3, -1, 5/2}"
"{6, 2, 2, -1}",2f_5/2,"{2, 3, 0, 5/2}"
"{5, 5, 4, -1}",2f_5/2,"{2, 3, 1, 5/2}"
"{5, 5, 5, 1}",3p_3/2,"{3, 1, -1, 3/2}"
"{6, 4, 1, 1}",3p_3/2,"{3, 1, 1, 3/2}"
"{5, 5, 5, -1}",1j_15/2,"{1, 7, -7, 15/2}"
"{6, 2, 1, -1}",1j_15/2,"{1, 7, -6, 15/2}"
"{6, 4, 0, 1}",1j_15/2,"{1, 7, -5, 15/2}"
"{5, 5, 2, -1}",1j_15/2,"{1, 7, -4, 15/2}"
"{5, 5, 3, -1}",1j_15/2,"{1, 7, 4, 15/2}"
"{7, 1, 0, 1}",1j_15/2,"{1, 7, 5, 15/2}"
"{6, 4, 2, -1}",1j_15/2,"{1, 7, 6, 15/2}"
"{6, 6, 5, 1}",1j_15/2,"{1, 7, 7, 15/2}"
"{6, 4, 1, -1}",3p_1/2,"{3, 1, 0, 1/2}"
"{6, 4, 3, -1}",1i_11/2,"{1, 6, -6, 11/2}"
"{6, 4, 4, -1}",1i_11/2,"{1, 6, -5, 11/2}"
"{7, 1, 1, 1}",1i_11/2,"{1, 6, -4, 11/2}"
"{7, 3, 2, 1}",1i_11/2,"{1, 6, 4, 11/2}"
"{7, 1, 1, -1}",1i_11/2,"{1, 6, 5 11/2}"
"{7, 3, 1, 1}",1i_11/2,"{1, 6, 6, 11/2}"
"{7, 5, 5, 1}",2g_9/2,"{2, 4, -2, 9/2}"
"{6, 6, 3, 1}",2g_9/2,"{2, 4, -1, 9/2}"
"{6, 6, 2, 1}",2g_9/2,"{2, 4, 0, 9/2}"
"{7, 3, 0, 1}",2g_9/2,"{2, 4, 1, 9/2}"
"{7, 5, 4, 1}",2g_9/2,"{2, 4, 2, 9/2}"
"{6, 6, 4, 1}",1l_17/2,"{1,9,-4,17/2}"
"{7, 3, 2, -1}",1l_17/2,"{1,9,-3,17/2}"
"{7, 3, 3, -1}",1l_17/2,"{1,9,-2,17/2}"
"{7, 3, 3, 1}",1l_17/2,"{1,9,-1,17/2}"
"{7, 3, 1, -1}",1l_17/2,"{1,9,0,17/2}"
"{7, 5, 3, 1}",1l_17/2,"{1,9,1,17/2}"
"{6, 6, 1, 1}",1l_17/2,"{1,9,2,17/2}"
"{6, 6, 0, 1}",1l_17/2,"{1,9,3,17/2}"
"{6, 6, 6, 1}",1l_17/2,"{1,9,4,17/2}"
"{6, 6, 1, -1}",2g_7/2,"{2, 4, -4, 7/2}"
"{7, 5, 2, 1}",2g_7/2,"{2, 4, -3, 7/2}"
"{6, 6, 5, -1}",2g_7/2,"{2, 4, 3, 7/2}"
